bin_id,area,fill_percentage,overflow_risk,population_density,timestamp
BIN_0000,Kalyani Nagar,54.28781323608052,0,12543.938215564343,2026-02-27 18:23:39
BIN_0001,Wakad,83.28935948872295,0,12120.204362376182,2026-02-27 16:56:39
BIN_0002,Baner,12.508890983640352,0,9529.582066127692,2026-02-27 15:42:39
BIN_0003,Kalyani Nagar,12.978296572261128,1,13098.083627790544,2026-02-28 08:21:39
BIN_0004,Hingne Khurd,55.681836027830755,0,8725.862816529734,2026-02-28 06:21:39
BIN_0005,Koregaon Park,94.63786533583709,0,8914.90723112342,2026-02-27 12:50:39
BIN_0006,Baner,41.499775837075425,0,16358.881627167806,2026-02-27 22:45:39
BIN_0007,Baner,32.694210025469495,0,10138.20896763635,2026-02-28 11:11:39
BIN_0008,Kalyani Nagar,60.66893231978858,0,5770.995094086677,2026-02-28 08:08:39
BIN_0009,Kothrud,93.0448600545031,0,10155.159288424711,2026-02-27 16:46:39
BIN_0010,Hingne Khurd,83.69278328446237,0,14578.583117999284,2026-02-27 18:14:39
BIN_0011,Kalyani Nagar,99.54836107332198,0,17209.783800159836,2026-02-27 18:13:39
BIN_0012,Hingne Khurd,2.256858320237709,1,19429.05022088542,2026-02-27 19:30:39
BIN_0013,Hingne Khurd,11.285814471276224,1,16193.30632212464,2026-02-27 11:31:39
BIN_0014,Koregaon Park,60.946776336662204,0,11432.774141252554,2026-02-28 03:08:39
BIN_0015,Baner,82.05764393338497,1,9486.789188074365,2026-02-27 13:51:39
BIN_0016,Wakad,28.524434230676654,0,6944.449852563341,2026-02-27 22:20:39
BIN_0017,Koregaon Park,23.921108803421877,0,14415.296516691717,2026-02-27 19:12:39
BIN_0018,Koregaon Park,78.69757993812009,0,12648.249711635095,2026-02-27 14:13:39
BIN_0019,Hingne Khurd,5.638185385323158,0,15165.522746662118,2026-02-27 18:22:39
BIN_0020,Viman Nagar,36.93826475825851,0,8556.997346826043,2026-02-28 00:03:39
BIN_0021,Baner,50.58092225923298,0,9854.662521649185,2026-02-27 23:15:39
