sensor_id,area,timestamp,pressure_psi,flow_rate_lpm,turbidity_ntu,chlorine_mgl,pH,is_leak_simulated
W_SENS_000,Viman Nagar,2026-01-29 11:19:39,52.483570765056164,97.84865175311606,4.243408766707227,0.22866052972495363,7.71168571133534,0
W_SENS_001,Viman Nagar,2026-01-29 12:19:39,23.582428570221495,129.15098547766573,13.093945404793493,0.29218122598853646,6.513898545192008,1
W_SENS_002,Hingne Khurd,2026-01-29 13:19:39,53.23844269050346,100.96442317881373,2.4496269069770364,1.840908552088905,7.474217026050605,0
W_SENS_003,Shivajinagar,2026-01-29 14:19:39,57.61514928204013,114.2029219246927,2.186096093271026,0.845081713405633,7.609251681119588,0
W_SENS_004,Kothrud,2026-01-29 15:19:39,48.82923312638332,88.79174037269884,3.2571452615853422,0.736818549581588,7.651932388407504,0
W_SENS_005,Viman Nagar,2026-01-29 16:19:39,48.8293152152541,87.3047951273101,0.7608850072606086,0.9497823020213019,7.223069227344561,0
W_SENS_006,Shivajinagar,2026-01-29 17:19:39,57.896064077536955,118.54929613214463,3.610954222554187,0.9372288443552375,7.369823334243386,0
W_SENS_007,Hingne Khurd,2026-01-29 18:19:39,53.837173645764544,93.06032887178053,4.020294224197611,0.6292878962412383,6.984865696726059,0
W_SENS_008,Kothrud,2026-01-29 19:19:39,47.65262807032524,81.054469696344,2.288488672657272,0.36529041725291156,7.207544350972999,0
W_SENS_009,Kalyani Nagar,2026-01-29 20:19:39,52.712800217929825,92.72305086850194,1.2857713250332838,0.3955278667257224,7.150735252116897,0
W_SENS_010,Shivajinagar,2026-01-29 21:19:39,47.68291153593769,95.04920897134,0.6296826881338857,1.2785396568088927,7.133484368628077,0
W_SENS_011,Wakad,2026-01-29 22:19:39,47.671351232148716,123.32444091588647,3.3676051976919497,0.9143030929515779,7.540396982737502,0
W_SENS_012,Shivajinagar,2026-01-29 23:19:39,51.20981135783017,113.87239318565106,1.710470329857094,1.8244196982491927,7.264484830649546,0
W_SENS_013,Wakad,2026-01-30 00:19:39,40.43359877671101,117.21280924948363,2.587503142045779,1.0347260788778139,7.7079516881378085,0
W_SENS_014,Koregaon Park,2026-01-30 01:19:39,41.375410837434835,112.29960463520179,2.2385998474588886,1.1062848362768272,7.274392771733145,0
W_SENS_015,Baner,2026-01-30 02:19:39,47.188562353795135,114.19365507422971,1.286981581763582,1.8708409663332597,7.857393774830753,0
W_SENS_016,Hingne Khurd,2026-01-30 03:19:39,44.93584439832788,89.67876810129523,2.7876590080731685,1.1029533310823518,7.56816300793703,0
W_SENS_017,Wakad,2026-01-30 04:19:39,51.57123666297637,97.02096766969774,2.5681708523333207,1.1035675595977594,7.17395982101026,0
W_SENS_018,Kalyani Nagar,2026-01-30 05:19:39,45.45987962239394,85.15127030464677,3.308664302914245,0.8536933645279419,7.252379195330233,0
W_SENS_019,Viman Nagar,2026-01-30 06:19:39,42.93848149332354,96.8426795419445,1.6334824753840405,1.4787413486901437,6.948004012660415,0
